Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 15674836k(11331508k free), swap 16657876k(11949664k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.283: [GC (Allocation Failure) 0.283: [DefNew: 959K->63K(960K), 0.0007729 secs] 32814K->32192K(524224K), 0.0007949 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.285: [GC (Allocation Failure) 0.285: [DefNew: 959K->63K(960K), 0.0009716 secs] 33088K->32558K(524224K), 0.0010141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.288: [GC (Allocation Failure) 0.288: [DefNew: 959K->63K(960K), 0.0008904 secs] 33455K->32854K(524224K), 0.0009209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.290: [GC (Allocation Failure) 0.290: [DefNew: 959K->63K(960K), 0.0008507 secs] 33750K->33117K(524224K), 0.0008798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.294: [GC (Allocation Failure) 0.294: [DefNew: 959K->63K(960K), 0.0009939 secs] 34014K->33501K(524224K), 0.0010363 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.297: [GC (Allocation Failure) 0.297: [DefNew: 959K->63K(960K), 0.0008978 secs] 34397K->33787K(524224K), 0.0009234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.299: [GC (Allocation Failure) 0.299: [DefNew: 959K->64K(960K), 0.0007943 secs] 34683K->34048K(524224K), 0.0008208 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.302: [GC (Allocation Failure) 0.302: [DefNew: 960K->64K(960K), 0.0010016 secs] 34945K->34460K(524224K), 0.0010426 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.304: [GC (Allocation Failure) 0.304: [DefNew: 960K->64K(960K), 0.0009311 secs] 35357K->34766K(524224K), 0.0009551 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.307: [GC (Allocation Failure) 0.307: [DefNew: 960K->63K(960K), 0.0009457 secs] 35662K->35077K(524224K), 0.0009776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.309: [GC (Allocation Failure) 0.309: [DefNew: 959K->63K(960K), 0.0008362 secs] 35973K->35364K(524224K), 0.0008667 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.313: [GC (Allocation Failure) 0.313: [DefNew: 959K->63K(960K), 0.0009927 secs] 36261K->35674K(524224K), 0.0010378 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.315: [GC (Allocation Failure) 0.315: [DefNew: 959K->63K(960K), 0.0009297 secs] 36571K->35995K(524224K), 0.0009594 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.318: [GC (Allocation Failure) 0.318: [DefNew: 959K->63K(960K), 0.0010706 secs] 36891K->36414K(524224K), 0.0011128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.321: [GC (Allocation Failure) 0.321: [DefNew: 959K->64K(960K), 0.0009118 secs] 37310K->36708K(524224K), 0.0009351 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.323: [GC (Allocation Failure) 0.323: [DefNew: 960K->63K(960K), 0.0007803 secs] 37605K->36974K(524224K), 0.0008026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.325: [GC (Allocation Failure) 0.325: [DefNew: 959K->63K(960K), 0.0007726 secs] 37871K->37238K(524224K), 0.0007946 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.328: [GC (Allocation Failure) 0.328: [DefNew: 959K->64K(960K), 0.0010096 secs] 38135K->37574K(524224K), 0.0010617 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.331: [GC (Allocation Failure) 0.331: [DefNew: 960K->63K(960K), 0.0010851 secs] 38470K->37967K(524224K), 0.0011270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
